Date,Tweet_ID,Username,Content,URL
2025-03-06,8513164682390,@youthvoice,Disappointed with no tax relief in this year’s budget.,https://twitter.com/youthvoice/status/8513164682390
2025-03-19,2383092729407,@commonman123,Great step towards digital India. #Budget2025,https://twitter.com/commonman123/status/2383092729407
2025-03-08,8533003082977,@startupbuddy,Disappointed with no tax relief in this year’s budget.,https://twitter.com/startupbuddy/status/8533003082977
2025-02-14,7940217789705,@commonman123,Loved the emphasis on clean energy and sustainability!,https://twitter.com/commonman123/status/7940217789705
2025-03-15,4121799575885,@indiapolitics,Loved the emphasis on clean energy and sustainability!,https://twitter.com/indiapolitics/status/4121799575885
2025-04-08,4528582099815,@eco_voice,"Too much focus on startups, not enough for agriculture.",https://twitter.com/eco_voice/status/4528582099815
2025-03-20,6705028469921,@eco_voice,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/eco_voice/status/6705028469921
2025-02-27,5972443083810,@commonman123,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/commonman123/status/5972443083810
2025-03-28,8213722992261,@eco_voice,Loved the emphasis on clean energy and sustainability!,https://twitter.com/eco_voice/status/8213722992261
2025-04-07,1558845275859,@commonman123,More allocation to healthcare is a welcome move.,https://twitter.com/commonman123/status/1558845275859
2025-04-11,3590037389470,@budgetwatch,The infrastructure spending plan looks solid this year.,https://twitter.com/budgetwatch/status/3590037389470
2025-03-14,9585052222640,@bharatfirst,Where is the support for the salaried class?,https://twitter.com/bharatfirst/status/9585052222640
2025-03-10,9055066707025,@eco_voice,The infrastructure spending plan looks solid this year.,https://twitter.com/eco_voice/status/9055066707025
2025-03-23,6992553321896,@bharatfirst,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/bharatfirst/status/6992553321896
2025-03-21,5362326663215,@indiapolitics,Where is the support for the salaried class?,https://twitter.com/indiapolitics/status/5362326663215
2025-02-11,4479913172020,@commonman123,"This is a budget for the rich, not the middle class.",https://twitter.com/commonman123/status/4479913172020
2025-04-02,3450951346122,@bharatfirst,Great step towards digital India. #Budget2025,https://twitter.com/bharatfirst/status/3450951346122
2025-03-01,8662337838347,@indiapolitics,"Too much focus on startups, not enough for agriculture.",https://twitter.com/indiapolitics/status/8662337838347
2025-03-23,2687915489570,@bharatfirst,Great step towards digital India. #Budget2025,https://twitter.com/bharatfirst/status/2687915489570
2025-02-07,3334819485572,@taxbuster,More allocation to healthcare is a welcome move.,https://twitter.com/taxbuster/status/3334819485572
2025-04-10,3780211951049,@eco_voice,Where is the support for the salaried class?,https://twitter.com/eco_voice/status/3780211951049
2025-04-08,6477269226069,@budgetwatch,The infrastructure spending plan looks solid this year.,https://twitter.com/budgetwatch/status/6477269226069
2025-03-24,5489969668519,@bharatfirst,The infrastructure spending plan looks solid this year.,https://twitter.com/bharatfirst/status/5489969668519
2025-04-09,4538894413872,@youthvoice,Great step towards digital India. #Budget2025,https://twitter.com/youthvoice/status/4538894413872
2025-02-24,8701752263315,@eco_voice,More allocation to healthcare is a welcome move.,https://twitter.com/eco_voice/status/8701752263315
2025-02-21,5307522540148,@youthvoice,Where is the support for the salaried class?,https://twitter.com/youthvoice/status/5307522540148
2025-04-04,9020850813674,@commonman123,"Too much focus on startups, not enough for agriculture.",https://twitter.com/commonman123/status/9020850813674
2025-02-21,7492307693991,@taxbuster,More allocation to healthcare is a welcome move.,https://twitter.com/taxbuster/status/7492307693991
2025-03-29,3586489251428,@budgetwatch,Great step towards digital India. #Budget2025,https://twitter.com/budgetwatch/status/3586489251428
2025-04-06,7706787113965,@aamjanta,"This is a budget for the rich, not the middle class.",https://twitter.com/aamjanta/status/7706787113965
2025-03-28,9918160431214,@youthvoice,Disappointed with no tax relief in this year’s budget.,https://twitter.com/youthvoice/status/9918160431214
2025-02-21,9712970269781,@taxbuster,Where is the support for the salaried class?,https://twitter.com/taxbuster/status/9712970269781
2025-02-07,6061758232843,@aamjanta,Great step towards digital India. #Budget2025,https://twitter.com/aamjanta/status/6061758232843
2025-04-02,2969778450080,@aamjanta,Disappointed with no tax relief in this year’s budget.,https://twitter.com/aamjanta/status/2969778450080
2025-03-27,8548489124194,@bharatfirst,Loved the emphasis on clean energy and sustainability!,https://twitter.com/bharatfirst/status/8548489124194
2025-02-28,4137693972249,@taxbuster,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/taxbuster/status/4137693972249
2025-03-21,7758082859648,@eco_voice,Great step towards digital India. #Budget2025,https://twitter.com/eco_voice/status/7758082859648
2025-02-19,5778703180369,@middleclasswarrior,Great step towards digital India. #Budget2025,https://twitter.com/middleclasswarrior/status/5778703180369
2025-03-23,5080380564098,@bharatfirst,Where is the support for the salaried class?,https://twitter.com/bharatfirst/status/5080380564098
2025-03-08,6955929695370,@bharatfirst,Where is the support for the salaried class?,https://twitter.com/bharatfirst/status/6955929695370
2025-02-20,2210291146261,@aamjanta,"This is a budget for the rich, not the middle class.",https://twitter.com/aamjanta/status/2210291146261
2025-03-17,1503452086738,@taxbuster,Great step towards digital India. #Budget2025,https://twitter.com/taxbuster/status/1503452086738
2025-04-06,5397169020980,@aamjanta,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/aamjanta/status/5397169020980
2025-02-09,5821341041313,@youthvoice,The infrastructure spending plan looks solid this year.,https://twitter.com/youthvoice/status/5821341041313
2025-03-31,2329878543810,@commonman123,"This is a budget for the rich, not the middle class.",https://twitter.com/commonman123/status/2329878543810
2025-02-20,1043397444638,@aamjanta,Disappointed with no tax relief in this year’s budget.,https://twitter.com/aamjanta/status/1043397444638
2025-04-11,9804238506539,@taxbuster,Disappointed with no tax relief in this year’s budget.,https://twitter.com/taxbuster/status/9804238506539
2025-04-05,3955715256048,@middleclasswarrior,The infrastructure spending plan looks solid this year.,https://twitter.com/middleclasswarrior/status/3955715256048
2025-03-02,8186475887893,@bharatfirst,"This is a budget for the rich, not the middle class.",https://twitter.com/bharatfirst/status/8186475887893
2025-04-09,5665005908529,@aamjanta,Disappointed with no tax relief in this year’s budget.,https://twitter.com/aamjanta/status/5665005908529
2025-03-05,7281511528250,@middleclasswarrior,Great step towards digital India. #Budget2025,https://twitter.com/middleclasswarrior/status/7281511528250
2025-04-08,4343853907818,@budgetwatch,The infrastructure spending plan looks solid this year.,https://twitter.com/budgetwatch/status/4343853907818
2025-02-07,7810913368017,@bharatfirst,The infrastructure spending plan looks solid this year.,https://twitter.com/bharatfirst/status/7810913368017
2025-03-25,1164075658012,@budgetwatch,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/budgetwatch/status/1164075658012
2025-03-30,2233420837549,@indiapolitics,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/indiapolitics/status/2233420837549
2025-04-01,3528439631276,@startupbuddy,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/startupbuddy/status/3528439631276
2025-04-02,8273966205131,@taxbuster,"This is a budget for the rich, not the middle class.",https://twitter.com/taxbuster/status/8273966205131
2025-02-14,4520204507106,@youthvoice,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/youthvoice/status/4520204507106
2025-03-30,8579244560762,@bharatfirst,Where is the support for the salaried class?,https://twitter.com/bharatfirst/status/8579244560762
2025-03-03,6782591899751,@bharatfirst,Loved the emphasis on clean energy and sustainability!,https://twitter.com/bharatfirst/status/6782591899751
2025-03-10,9370731111641,@startupbuddy,The infrastructure spending plan looks solid this year.,https://twitter.com/startupbuddy/status/9370731111641
2025-02-25,7442061838919,@eco_voice,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/eco_voice/status/7442061838919
2025-03-05,8959918079762,@indiapolitics,More allocation to healthcare is a welcome move.,https://twitter.com/indiapolitics/status/8959918079762
2025-03-03,3022816715557,@startupbuddy,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/startupbuddy/status/3022816715557
2025-03-09,3134166842440,@commonman123,The infrastructure spending plan looks solid this year.,https://twitter.com/commonman123/status/3134166842440
2025-03-28,6475413723843,@commonman123,The infrastructure spending plan looks solid this year.,https://twitter.com/commonman123/status/6475413723843
2025-04-05,5222929211405,@startupbuddy,Disappointed with no tax relief in this year’s budget.,https://twitter.com/startupbuddy/status/5222929211405
2025-04-09,1438007824527,@startupbuddy,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/startupbuddy/status/1438007824527
2025-02-03,2429649445392,@startupbuddy,"This is a budget for the rich, not the middle class.",https://twitter.com/startupbuddy/status/2429649445392
2025-03-28,5834102430284,@indiapolitics,Loved the emphasis on clean energy and sustainability!,https://twitter.com/indiapolitics/status/5834102430284
2025-03-01,6414140532350,@budgetwatch,Loved the emphasis on clean energy and sustainability!,https://twitter.com/budgetwatch/status/6414140532350
2025-02-25,5024550946882,@startupbuddy,Loved the emphasis on clean energy and sustainability!,https://twitter.com/startupbuddy/status/5024550946882
2025-02-11,1841603264077,@indiapolitics,Where is the support for the salaried class?,https://twitter.com/indiapolitics/status/1841603264077
2025-04-07,2918439728304,@eco_voice,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/eco_voice/status/2918439728304
2025-02-02,2226703474493,@budgetwatch,The infrastructure spending plan looks solid this year.,https://twitter.com/budgetwatch/status/2226703474493
2025-02-15,4039212505137,@middleclasswarrior,Where is the support for the salaried class?,https://twitter.com/middleclasswarrior/status/4039212505137
2025-02-06,3440049344780,@budgetwatch,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/budgetwatch/status/3440049344780
2025-03-20,5648667908585,@commonman123,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/commonman123/status/5648667908585
2025-03-17,3090131252709,@middleclasswarrior,"Too much focus on startups, not enough for agriculture.",https://twitter.com/middleclasswarrior/status/3090131252709
2025-02-17,5870920371458,@eco_voice,Great step towards digital India. #Budget2025,https://twitter.com/eco_voice/status/5870920371458
2025-03-03,5346021586617,@bharatfirst,Great step towards digital India. #Budget2025,https://twitter.com/bharatfirst/status/5346021586617
2025-03-21,2476077397529,@indiapolitics,The infrastructure spending plan looks solid this year.,https://twitter.com/indiapolitics/status/2476077397529
2025-03-28,2048857503298,@middleclasswarrior,Where is the support for the salaried class?,https://twitter.com/middleclasswarrior/status/2048857503298
2025-03-27,8767958039882,@youthvoice,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/youthvoice/status/8767958039882
2025-03-24,5845559511194,@taxbuster,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/taxbuster/status/5845559511194
2025-02-20,8482876911724,@commonman123,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/commonman123/status/8482876911724
2025-02-17,5606836864263,@taxbuster,The infrastructure spending plan looks solid this year.,https://twitter.com/taxbuster/status/5606836864263
2025-03-24,3587914547044,@startupbuddy,Where is the support for the salaried class?,https://twitter.com/startupbuddy/status/3587914547044
2025-03-10,5265771452640,@taxbuster,Loved the emphasis on clean energy and sustainability!,https://twitter.com/taxbuster/status/5265771452640
2025-04-03,1416595499315,@taxbuster,Disappointed with no tax relief in this year’s budget.,https://twitter.com/taxbuster/status/1416595499315
2025-02-09,3921214886179,@bharatfirst,More allocation to healthcare is a welcome move.,https://twitter.com/bharatfirst/status/3921214886179
2025-03-08,9441623200574,@commonman123,Where is the support for the salaried class?,https://twitter.com/commonman123/status/9441623200574
2025-02-18,7370115767289,@taxbuster,More allocation to healthcare is a welcome move.,https://twitter.com/taxbuster/status/7370115767289
2025-04-10,8004744261989,@middleclasswarrior,"This is a budget for the rich, not the middle class.",https://twitter.com/middleclasswarrior/status/8004744261989
2025-02-06,2340948282584,@youthvoice,More allocation to healthcare is a welcome move.,https://twitter.com/youthvoice/status/2340948282584
2025-02-19,5689001091982,@indiapolitics,"This is a budget for the rich, not the middle class.",https://twitter.com/indiapolitics/status/5689001091982
2025-04-03,6134883801013,@bharatfirst,The infrastructure spending plan looks solid this year.,https://twitter.com/bharatfirst/status/6134883801013
2025-03-04,2187506070583,@startupbuddy,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/startupbuddy/status/2187506070583
2025-03-06,7592218952068,@bharatfirst,"Too much focus on startups, not enough for agriculture.",https://twitter.com/bharatfirst/status/7592218952068
2025-02-09,8891895081584,@indiapolitics,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/indiapolitics/status/8891895081584
2025-04-04,5650997933537,@taxbuster,Disappointed with no tax relief in this year’s budget.,https://twitter.com/taxbuster/status/5650997933537
2025-04-10,9252446310236,@youthvoice,"Too much focus on startups, not enough for agriculture.",https://twitter.com/youthvoice/status/9252446310236
2025-02-19,6275637371688,@budgetwatch,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/budgetwatch/status/6275637371688
2025-04-04,1653950910666,@indiapolitics,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/indiapolitics/status/1653950910666
2025-04-01,8770384648850,@youthvoice,Where is the support for the salaried class?,https://twitter.com/youthvoice/status/8770384648850
2025-04-02,7455448588764,@middleclasswarrior,Disappointed with no tax relief in this year’s budget.,https://twitter.com/middleclasswarrior/status/7455448588764
2025-04-05,9566853342898,@youthvoice,"This is a budget for the rich, not the middle class.",https://twitter.com/youthvoice/status/9566853342898
2025-02-12,7632863946785,@startupbuddy,Disappointed with no tax relief in this year’s budget.,https://twitter.com/startupbuddy/status/7632863946785
2025-02-20,8880522985246,@taxbuster,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/taxbuster/status/8880522985246
2025-03-22,6380140513437,@commonman123,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/commonman123/status/6380140513437
2025-04-02,6571709605991,@startupbuddy,More allocation to healthcare is a welcome move.,https://twitter.com/startupbuddy/status/6571709605991
2025-03-11,9225648449607,@taxbuster,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/taxbuster/status/9225648449607
2025-03-02,5270580147279,@indiapolitics,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/indiapolitics/status/5270580147279
2025-04-07,1817074202206,@middleclasswarrior,Loved the emphasis on clean energy and sustainability!,https://twitter.com/middleclasswarrior/status/1817074202206
2025-02-14,1453395672262,@middleclasswarrior,Where is the support for the salaried class?,https://twitter.com/middleclasswarrior/status/1453395672262
2025-02-22,7592709838894,@aamjanta,Where is the support for the salaried class?,https://twitter.com/aamjanta/status/7592709838894
2025-02-07,9964908459152,@budgetwatch,Where is the support for the salaried class?,https://twitter.com/budgetwatch/status/9964908459152
2025-03-10,6344296811306,@aamjanta,Where is the support for the salaried class?,https://twitter.com/aamjanta/status/6344296811306
2025-04-08,1965575362614,@youthvoice,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/youthvoice/status/1965575362614
2025-03-02,8798333147263,@youthvoice,"Too much focus on startups, not enough for agriculture.",https://twitter.com/youthvoice/status/8798333147263
2025-02-03,8629986122040,@bharatfirst,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/bharatfirst/status/8629986122040
2025-02-02,2519645518031,@indiapolitics,"Too much focus on startups, not enough for agriculture.",https://twitter.com/indiapolitics/status/2519645518031
2025-02-09,3700246821018,@indiapolitics,Loved the emphasis on clean energy and sustainability!,https://twitter.com/indiapolitics/status/3700246821018
2025-02-17,4092077939825,@startupbuddy,More allocation to healthcare is a welcome move.,https://twitter.com/startupbuddy/status/4092077939825
2025-02-26,1479498925956,@indiapolitics,"This is a budget for the rich, not the middle class.",https://twitter.com/indiapolitics/status/1479498925956
2025-03-11,1046656450968,@aamjanta,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/aamjanta/status/1046656450968
2025-02-20,3743639799984,@indiapolitics,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/indiapolitics/status/3743639799984
2025-03-21,9131125637696,@middleclasswarrior,Great step towards digital India. #Budget2025,https://twitter.com/middleclasswarrior/status/9131125637696
2025-03-09,2340940509145,@aamjanta,Where is the support for the salaried class?,https://twitter.com/aamjanta/status/2340940509145
2025-03-11,4547827083893,@eco_voice,Where is the support for the salaried class?,https://twitter.com/eco_voice/status/4547827083893
2025-02-19,2274042821069,@commonman123,More allocation to healthcare is a welcome move.,https://twitter.com/commonman123/status/2274042821069
2025-03-12,1269377975593,@budgetwatch,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/budgetwatch/status/1269377975593
2025-04-06,6062770404397,@commonman123,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/commonman123/status/6062770404397
2025-03-10,7770651339884,@youthvoice,Disappointed with no tax relief in this year’s budget.,https://twitter.com/youthvoice/status/7770651339884
2025-02-24,2400680580231,@middleclasswarrior,Disappointed with no tax relief in this year’s budget.,https://twitter.com/middleclasswarrior/status/2400680580231
2025-04-06,3966702559208,@commonman123,Disappointed with no tax relief in this year’s budget.,https://twitter.com/commonman123/status/3966702559208
2025-02-14,8620136319060,@taxbuster,Disappointed with no tax relief in this year’s budget.,https://twitter.com/taxbuster/status/8620136319060
2025-04-04,6607846349594,@taxbuster,"Too much focus on startups, not enough for agriculture.",https://twitter.com/taxbuster/status/6607846349594
2025-03-18,7474802359551,@bharatfirst,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/bharatfirst/status/7474802359551
2025-02-14,5225481535013,@bharatfirst,The infrastructure spending plan looks solid this year.,https://twitter.com/bharatfirst/status/5225481535013
2025-02-07,1032146633518,@youthvoice,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/youthvoice/status/1032146633518
2025-03-23,5666690568377,@taxbuster,The infrastructure spending plan looks solid this year.,https://twitter.com/taxbuster/status/5666690568377
2025-03-14,5777424367140,@startupbuddy,More allocation to healthcare is a welcome move.,https://twitter.com/startupbuddy/status/5777424367140
2025-03-12,8859094564231,@commonman123,"This is a budget for the rich, not the middle class.",https://twitter.com/commonman123/status/8859094564231
2025-03-22,7491126150167,@youthvoice,"Too much focus on startups, not enough for agriculture.",https://twitter.com/youthvoice/status/7491126150167
2025-03-01,3490079816144,@middleclasswarrior,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/middleclasswarrior/status/3490079816144
2025-02-02,6453790051747,@bharatfirst,Great step towards digital India. #Budget2025,https://twitter.com/bharatfirst/status/6453790051747
2025-04-09,8963805680307,@taxbuster,The infrastructure spending plan looks solid this year.,https://twitter.com/taxbuster/status/8963805680307
2025-02-24,4211182511979,@aamjanta,"This is a budget for the rich, not the middle class.",https://twitter.com/aamjanta/status/4211182511979
2025-04-05,5657372535601,@eco_voice,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/eco_voice/status/5657372535601
2025-02-09,4639802022364,@taxbuster,Disappointed with no tax relief in this year’s budget.,https://twitter.com/taxbuster/status/4639802022364
2025-03-15,7473076796731,@commonman123,Where is the support for the salaried class?,https://twitter.com/commonman123/status/7473076796731
2025-02-28,6209382299724,@youthvoice,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/youthvoice/status/6209382299724
2025-03-18,5088954418672,@bharatfirst,Loved the emphasis on clean energy and sustainability!,https://twitter.com/bharatfirst/status/5088954418672
2025-04-02,6367815442707,@commonman123,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/commonman123/status/6367815442707
2025-03-06,4742870519349,@startupbuddy,The infrastructure spending plan looks solid this year.,https://twitter.com/startupbuddy/status/4742870519349
2025-02-05,8059965382737,@youthvoice,"Too much focus on startups, not enough for agriculture.",https://twitter.com/youthvoice/status/8059965382737
2025-03-29,9588922991277,@eco_voice,Loved the emphasis on clean energy and sustainability!,https://twitter.com/eco_voice/status/9588922991277
2025-03-06,9699170283444,@middleclasswarrior,Loved the emphasis on clean energy and sustainability!,https://twitter.com/middleclasswarrior/status/9699170283444
2025-03-05,2848797964807,@commonman123,Great step towards digital India. #Budget2025,https://twitter.com/commonman123/status/2848797964807
2025-03-29,3086398199028,@indiapolitics,More allocation to healthcare is a welcome move.,https://twitter.com/indiapolitics/status/3086398199028
2025-02-08,9739532084362,@youthvoice,"This is a budget for the rich, not the middle class.",https://twitter.com/youthvoice/status/9739532084362
2025-03-28,9283373221597,@eco_voice,Great step towards digital India. #Budget2025,https://twitter.com/eco_voice/status/9283373221597
2025-02-22,7200960627618,@taxbuster,"This is a budget for the rich, not the middle class.",https://twitter.com/taxbuster/status/7200960627618
2025-02-11,9471066528322,@middleclasswarrior,The infrastructure spending plan looks solid this year.,https://twitter.com/middleclasswarrior/status/9471066528322
2025-02-02,1152955728408,@indiapolitics,More allocation to healthcare is a welcome move.,https://twitter.com/indiapolitics/status/1152955728408
2025-03-03,9766970861526,@budgetwatch,"This is a budget for the rich, not the middle class.",https://twitter.com/budgetwatch/status/9766970861526
2025-02-11,8616899894869,@eco_voice,More allocation to healthcare is a welcome move.,https://twitter.com/eco_voice/status/8616899894869
2025-03-28,9979873103146,@youthvoice,Loved the emphasis on clean energy and sustainability!,https://twitter.com/youthvoice/status/9979873103146
2025-03-16,7117839166630,@indiapolitics,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/indiapolitics/status/7117839166630
2025-04-06,2187595653679,@aamjanta,Disappointed with no tax relief in this year’s budget.,https://twitter.com/aamjanta/status/2187595653679
2025-03-29,7693146591307,@bharatfirst,Where is the support for the salaried class?,https://twitter.com/bharatfirst/status/7693146591307
2025-02-22,5015749642648,@bharatfirst,Great step towards digital India. #Budget2025,https://twitter.com/bharatfirst/status/5015749642648
2025-04-08,4197826176766,@indiapolitics,Disappointed with no tax relief in this year’s budget.,https://twitter.com/indiapolitics/status/4197826176766
2025-02-26,4828292823017,@youthvoice,"This is a budget for the rich, not the middle class.",https://twitter.com/youthvoice/status/4828292823017
2025-04-02,1380529670950,@indiapolitics,More allocation to healthcare is a welcome move.,https://twitter.com/indiapolitics/status/1380529670950
2025-02-10,9263114843795,@youthvoice,"This is a budget for the rich, not the middle class.",https://twitter.com/youthvoice/status/9263114843795
2025-03-13,8662511322497,@middleclasswarrior,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/middleclasswarrior/status/8662511322497
2025-03-22,7022912769511,@eco_voice,Disappointed with no tax relief in this year’s budget.,https://twitter.com/eco_voice/status/7022912769511
2025-03-23,2876530993316,@budgetwatch,"Too much focus on startups, not enough for agriculture.",https://twitter.com/budgetwatch/status/2876530993316
2025-02-18,4986075039386,@startupbuddy,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/startupbuddy/status/4986075039386
2025-03-30,8215578506954,@eco_voice,More allocation to healthcare is a welcome move.,https://twitter.com/eco_voice/status/8215578506954
2025-03-13,5968290325119,@aamjanta,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/aamjanta/status/5968290325119
2025-02-24,1480286926773,@aamjanta,Where is the support for the salaried class?,https://twitter.com/aamjanta/status/1480286926773
2025-04-03,5283405738410,@indiapolitics,Great step towards digital India. #Budget2025,https://twitter.com/indiapolitics/status/5283405738410
2025-04-04,9685057020667,@budgetwatch,Where is the support for the salaried class?,https://twitter.com/budgetwatch/status/9685057020667
2025-02-17,8104801613513,@startupbuddy,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/startupbuddy/status/8104801613513
2025-02-03,2850630183136,@middleclasswarrior,MSME sector got a boost. Hope it helps local businesses.,https://twitter.com/middleclasswarrior/status/2850630183136
2025-03-04,8637491852705,@eco_voice,"Too much focus on startups, not enough for agriculture.",https://twitter.com/eco_voice/status/8637491852705
2025-03-28,4150448593653,@commonman123,Great step towards digital India. #Budget2025,https://twitter.com/commonman123/status/4150448593653
2025-04-07,2750431144733,@startupbuddy,"This is a budget for the rich, not the middle class.",https://twitter.com/startupbuddy/status/2750431144733
2025-02-26,5931743498717,@startupbuddy,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/startupbuddy/status/5931743498717
2025-03-22,9944965082272,@middleclasswarrior,The infrastructure spending plan looks solid this year.,https://twitter.com/middleclasswarrior/status/9944965082272
2025-03-12,4906532034940,@youthvoice,The infrastructure spending plan looks solid this year.,https://twitter.com/youthvoice/status/4906532034940
2025-02-20,1954045639893,@commonman123,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/commonman123/status/1954045639893
2025-03-12,6660607968894,@startupbuddy,Disappointed with no tax relief in this year’s budget.,https://twitter.com/startupbuddy/status/6660607968894
2025-03-11,5024476880314,@aamjanta,Budget 2025 finally addresses the education sector. Much needed!,https://twitter.com/aamjanta/status/5024476880314
